timestamp, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/05/04 00:24:15.954, 16422 MiB, 76 %, 68.00 W
2026/05/04 00:24:16.954, 16422 MiB, 77 %, 68.02 W
2026/05/04 00:24:17.955, 18770 MiB, 73 %, 97.93 W
2026/05/04 00:24:18.955, 20198 MiB, 81 %, 213.34 W
2026/05/04 00:24:19.955, 438 MiB, 70 %, 257.76 W
2026/05/04 00:24:20.956, 16422 MiB, 0 %, 107.85 W
2026/05/04 00:24:21.956, 16422 MiB, 79 %, 68.00 W
2026/05/04 00:24:22.956, 16422 MiB, 75 %, 67.80 W
2026/05/04 00:24:23.956, 18760 MiB, 50 %, 67.60 W
2026/05/04 00:24:24.957, 20198 MiB, 81 %, 178.95 W
2026/05/04 00:24:25.957, 16492 MiB, 77 %, 266.67 W
2026/05/04 00:24:26.957, 16422 MiB, 4 %, 116.74 W
2026/05/04 00:24:27.958, 16422 MiB, 78 %, 68.19 W
2026/05/04 00:24:28.958, 16422 MiB, 74 %, 67.90 W
2026/05/04 00:24:29.958, 18760 MiB, 50 %, 67.88 W
2026/05/04 00:24:30.959, 20198 MiB, 84 %, 175.71 W
2026/05/04 00:24:31.959, 20200 MiB, 78 %, 264.06 W
2026/05/04 00:24:32.961, 21 MiB, 4 %, 152.34 W
2026/05/04 00:24:33.975, 16422 MiB, 84 %, 67.84 W
2026/05/04 00:24:34.975, 16422 MiB, 76 %, 67.73 W
2026/05/04 00:24:35.975, 18176 MiB, 69 %, 67.87 W
2026/05/04 00:24:36.976, 20194 MiB, 57 %, 134.53 W
2026/05/04 00:24:37.976, 438 MiB, 77 %, 248.34 W
2026/05/04 00:24:38.976, 16422 MiB, 1 %, 91.76 W
2026/05/04 00:24:39.977, 16422 MiB, 79 %, 67.96 W
2026/05/04 00:24:40.978, 16422 MiB, 76 %, 67.94 W
2026/05/04 00:24:41.978, 18770 MiB, 47 %, 67.68 W
2026/05/04 00:24:42.979, 20198 MiB, 82 %, 162.82 W
2026/05/04 00:24:43.979, 438 MiB, 100 %, 225.76 W
2026/05/04 00:24:44.979, 16422 MiB, 80 %, 70.54 W
2026/05/04 00:24:45.980, 16422 MiB, 79 %, 68.03 W
2026/05/04 00:24:46.980, 16422 MiB, 78 %, 67.89 W
2026/05/04 00:24:47.980, 18770 MiB, 61 %, 88.40 W
2026/05/04 00:24:48.981, 20198 MiB, 83 %, 212.80 W
2026/05/04 00:24:49.981, 34 MiB, 4 %, 166.66 W
2026/05/04 00:24:50.981, 16422 MiB, 82 %, 67.87 W
2026/05/04 00:24:51.982, 16422 MiB, 75 %, 67.89 W
2026/05/04 00:24:52.982, 18176 MiB, 58 %, 67.95 W
2026/05/04 00:24:53.982, 20198 MiB, 58 %, 133.06 W
2026/05/04 00:24:54.982, 20200 MiB, 76 %, 245.08 W
2026/05/04 00:24:55.983, 6 MiB, 9 %, 176.61 W
2026/05/04 00:24:56.983, 16422 MiB, 79 %, 68.11 W
2026/05/04 00:24:57.983, 16422 MiB, 76 %, 67.99 W
2026/05/04 00:24:58.984, 18176 MiB, 58 %, 68.02 W
2026/05/04 00:24:59.984, 20278 MiB, 68 %, 127.18 W
2026/05/04 00:25:00.984, 20356 MiB, 78 %, 208.73 W
2026/05/04 00:25:01.984, 16422 MiB, 18 %, 113.99 W
2026/05/04 00:25:02.985, 16422 MiB, 80 %, 68.38 W
2026/05/04 00:25:03.985, 16422 MiB, 73 %, 68.00 W
2026/05/04 00:25:04.985, 18720 MiB, 55 %, 67.92 W
2026/05/04 00:25:05.985, 20354 MiB, 71 %, 166.11 W
2026/05/04 00:25:06.986, 438 MiB, 100 %, 230.73 W
2026/05/04 00:25:07.986, 16422 MiB, 78 %, 71.39 W
2026/05/04 00:25:08.986, 16422 MiB, 77 %, 68.08 W
2026/05/04 00:25:09.986, 16422 MiB, 77 %, 68.00 W
2026/05/04 00:25:10.987, 20276 MiB, 87 %, 104.99 W
2026/05/04 00:25:11.987, 20352 MiB, 79 %, 207.82 W
2026/05/04 00:25:12.987, 438 MiB, 100 %, 219.46 W
2026/05/04 00:25:13.987, 16422 MiB, 81 %, 71.45 W
2026/05/04 00:25:14.988, 16422 MiB, 80 %, 68.15 W
2026/05/04 00:25:15.988, 16422 MiB, 78 %, 68.37 W
2026/05/04 00:25:16.988, 18770 MiB, 59 %, 86.02 W
2026/05/04 00:25:17.988, 20352 MiB, 82 %, 207.51 W
2026/05/04 00:25:18.989, 438 MiB, 76 %, 262.51 W
2026/05/04 00:25:19.989, 16422 MiB, 29 %, 91.56 W
2026/05/04 00:25:20.990, 16422 MiB, 78 %, 68.16 W
2026/05/04 00:25:21.990, 16422 MiB, 74 %, 68.36 W
2026/05/04 00:25:22.990, 18770 MiB, 51 %, 68.21 W
2026/05/04 00:25:23.990, 20352 MiB, 75 %, 167.05 W
2026/05/04 00:25:24.990, 438 MiB, 79 %, 265.95 W
2026/05/04 00:25:25.991, 16422 MiB, 74 %, 71.96 W
2026/05/04 00:25:26.992, 16422 MiB, 80 %, 68.12 W
2026/05/04 00:25:27.992, 16422 MiB, 78 %, 68.19 W
2026/05/04 00:25:28.992, 18770 MiB, 35 %, 68.31 W
2026/05/04 00:25:29.993, 20352 MiB, 82 %, 192.49 W
2026/05/04 00:25:30.993, 3 MiB, 41 %, 190.16 W
2026/05/04 00:25:32.003, 16422 MiB, 76 %, 68.29 W
2026/05/04 00:25:33.003, 16422 MiB, 76 %, 68.26 W
2026/05/04 00:25:34.003, 18176 MiB, 77 %, 68.46 W
2026/05/04 00:25:35.003, 20278 MiB, 91 %, 135.30 W
2026/05/04 00:25:36.004, 20356 MiB, 79 %, 207.57 W
2026/05/04 00:25:37.004, 6 MiB, 4 %, 172.96 W
2026/05/04 00:25:38.004, 16422 MiB, 80 %, 68.28 W
2026/05/04 00:25:39.004, 16422 MiB, 77 %, 68.47 W
2026/05/04 00:25:40.005, 18176 MiB, 52 %, 68.19 W
2026/05/04 00:25:41.005, 20348 MiB, 60 %, 114.09 W
2026/05/04 00:25:42.005, 20354 MiB, 79 %, 251.48 W
2026/05/04 00:25:43.005, 16422 MiB, 0 %, 126.91 W
2026/05/04 00:25:44.005, 16422 MiB, 83 %, 68.39 W
2026/05/04 00:25:45.006, 16422 MiB, 74 %, 68.16 W
2026/05/04 00:25:46.006, 18662 MiB, 78 %, 68.37 W
2026/05/04 00:25:47.006, 20350 MiB, 58 %, 141.80 W
2026/05/04 00:25:48.006, 20356 MiB, 72 %, 266.16 W
2026/05/04 00:25:49.006, 6 MiB, 4 %, 144.30 W
2026/05/04 00:25:50.007, 16422 MiB, 81 %, 68.56 W
2026/05/04 00:25:51.007, 16422 MiB, 77 %, 68.51 W
2026/05/04 00:25:52.007, 18176 MiB, 51 %, 68.24 W
2026/05/04 00:25:53.008, 20276 MiB, 61 %, 133.43 W
2026/05/04 00:25:54.008, 20354 MiB, 79 %, 242.56 W
2026/05/04 00:25:55.008, 6 MiB, 27 %, 182.12 W
2026/05/04 00:25:56.008, 16422 MiB, 82 %, 68.57 W
2026/05/04 00:25:57.008, 16422 MiB, 77 %, 68.33 W
2026/05/04 00:25:58.009, 18176 MiB, 53 %, 68.19 W
2026/05/04 00:25:59.009, 20504 MiB, 61 %, 128.06 W
2026/05/04 00:26:00.009, 438 MiB, 93 %, 210.45 W
2026/05/04 00:26:01.009, 16422 MiB, 79 %, 73.22 W
2026/05/04 00:26:02.010, 16422 MiB, 78 %, 68.23 W
2026/05/04 00:26:03.010, 16422 MiB, 76 %, 68.32 W
2026/05/04 00:26:04.010, 18770 MiB, 35 %, 68.45 W
2026/05/04 00:26:05.010, 20508 MiB, 84 %, 188.52 W
2026/05/04 00:26:06.011, 438 MiB, 97 %, 213.51 W
2026/05/04 00:26:07.011, 16422 MiB, 77 %, 68.43 W
2026/05/04 00:26:08.011, 16422 MiB, 77 %, 68.51 W
2026/05/04 00:26:09.012, 16422 MiB, 72 %, 68.30 W
2026/05/04 00:26:10.012, 20424 MiB, 80 %, 116.52 W
2026/05/04 00:26:11.012, 20506 MiB, 80 %, 202.67 W
2026/05/04 00:26:12.012, 438 MiB, 100 %, 218.91 W
2026/05/04 00:26:13.012, 16422 MiB, 76 %, 69.27 W
2026/05/04 00:26:14.013, 16422 MiB, 76 %, 68.25 W
2026/05/04 00:26:15.013, 16422 MiB, 77 %, 68.35 W
2026/05/04 00:26:16.013, 20426 MiB, 92 %, 128.21 W
2026/05/04 00:26:17.013, 20508 MiB, 80 %, 203.35 W
2026/05/04 00:26:18.014, 438 MiB, 99 %, 235.96 W
2026/05/04 00:26:19.014, 16422 MiB, 79 %, 71.90 W
2026/05/04 00:26:20.014, 16422 MiB, 76 %, 68.44 W
2026/05/04 00:26:21.014, 16422 MiB, 77 %, 68.35 W
2026/05/04 00:26:22.014, 18770 MiB, 69 %, 97.14 W
2026/05/04 00:26:23.031, 20506 MiB, 82 %, 207.87 W
2026/05/04 00:26:24.031, 438 MiB, 79 %, 186.58 W
2026/05/04 00:26:25.040, 16422 MiB, 77 %, 69.71 W
2026/05/04 00:26:26.041, 16422 MiB, 77 %, 68.45 W
2026/05/04 00:26:27.041, 16422 MiB, 78 %, 68.21 W
2026/05/04 00:26:28.041, 20424 MiB, 86 %, 126.09 W
2026/05/04 00:26:29.041, 20510 MiB, 79 %, 200.54 W
2026/05/04 00:26:30.042, 16422 MiB, 0 %, 117.94 W
2026/05/04 00:26:31.042, 16422 MiB, 83 %, 68.76 W
2026/05/04 00:26:32.042, 16422 MiB, 74 %, 68.33 W
2026/05/04 00:26:33.043, 18662 MiB, 78 %, 68.27 W
2026/05/04 00:26:34.043, 20506 MiB, 60 %, 146.91 W
2026/05/04 00:26:35.043, 438 MiB, 81 %, 265.89 W
2026/05/04 00:26:36.043, 16422 MiB, 1 %, 100.21 W
2026/05/04 00:26:37.043, 16422 MiB, 81 %, 68.37 W
2026/05/04 00:26:38.044, 16422 MiB, 72 %, 68.33 W
2026/05/04 00:26:39.044, 18770 MiB, 71 %, 68.32 W
2026/05/04 00:26:40.044, 20506 MiB, 74 %, 163.02 W
2026/05/04 00:26:41.044, 438 MiB, 99 %, 225.97 W
2026/05/04 00:26:42.044, 16422 MiB, 80 %, 71.15 W
2026/05/04 00:26:43.045, 16422 MiB, 80 %, 68.42 W
2026/05/04 00:26:44.045, 16422 MiB, 78 %, 68.39 W
2026/05/04 00:26:45.045, 18772 MiB, 58 %, 104.08 W
2026/05/04 00:26:46.045, 20506 MiB, 83 %, 203.35 W
2026/05/04 00:26:47.045, 438 MiB, 87 %, 249.29 W
2026/05/04 00:26:48.046, 16422 MiB, 72 %, 72.72 W
2026/05/04 00:26:49.046, 16422 MiB, 78 %, 68.27 W
2026/05/04 00:26:50.046, 16422 MiB, 74 %, 68.49 W
2026/05/04 00:26:51.046, 18770 MiB, 47 %, 71.44 W
2026/05/04 00:26:52.047, 20506 MiB, 81 %, 191.63 W
2026/05/04 00:26:53.047, 438 MiB, 100 %, 203.47 W
2026/05/04 00:26:54.047, 16422 MiB, 78 %, 69.18 W
2026/05/04 00:26:55.047, 16422 MiB, 78 %, 68.49 W
2026/05/04 00:26:56.048, 16422 MiB, 78 %, 68.24 W
2026/05/04 00:26:57.048, 20574 MiB, 92 %, 128.20 W
2026/05/04 00:26:58.048, 438 MiB, 81 %, 196.54 W
2026/05/04 00:26:59.048, 16422 MiB, 1 %, 101.81 W
2026/05/04 00:27:00.049, 16422 MiB, 81 %, 68.29 W
2026/05/04 00:27:01.049, 16422 MiB, 73 %, 68.53 W
2026/05/04 00:27:02.049, 18770 MiB, 65 %, 68.25 W
2026/05/04 00:27:03.049, 20662 MiB, 56 %, 160.60 W
2026/05/04 00:27:04.049, 438 MiB, 90 %, 232.82 W
2026/05/04 00:27:05.050, 16422 MiB, 80 %, 72.01 W
2026/05/04 00:27:06.050, 16422 MiB, 78 %, 68.31 W
2026/05/04 00:27:07.050, 16422 MiB, 77 %, 68.44 W
2026/05/04 00:27:08.051, 18770 MiB, 37 %, 88.36 W
2026/05/04 00:27:09.051, 20660 MiB, 83 %, 201.05 W
2026/05/04 00:27:10.051, 438 MiB, 78 %, 247.87 W
2026/05/04 00:27:11.052, 16422 MiB, 76 %, 73.54 W
2026/05/04 00:27:12.052, 16422 MiB, 77 %, 68.60 W
2026/05/04 00:27:13.052, 16422 MiB, 78 %, 68.14 W
2026/05/04 00:27:14.053, 18770 MiB, 45 %, 91.16 W
2026/05/04 00:27:15.053, 20660 MiB, 85 %, 196.58 W
2026/05/04 00:27:16.053, 438 MiB, 78 %, 253.19 W
2026/05/04 00:27:17.056, 16422 MiB, 49 %, 72.43 W
2026/05/04 00:27:18.056, 16422 MiB, 79 %, 68.59 W
2026/05/04 00:27:19.057, 16422 MiB, 76 %, 68.27 W
2026/05/04 00:27:20.057, 18770 MiB, 45 %, 75.61 W
2026/05/04 00:27:21.057, 20660 MiB, 82 %, 191.83 W
2026/05/04 00:27:22.058, 438 MiB, 80 %, 239.84 W
2026/05/04 00:27:23.058, 16422 MiB, 75 %, 72.77 W
2026/05/04 00:27:24.058, 16422 MiB, 78 %, 68.32 W
2026/05/04 00:27:25.059, 16422 MiB, 76 %, 68.31 W
2026/05/04 00:27:26.059, 18770 MiB, 78 %, 82.15 W
2026/05/04 00:27:27.059, 20660 MiB, 83 %, 199.29 W
2026/05/04 00:27:28.059, 6 MiB, 80 %, 186.14 W
2026/05/04 00:27:29.060, 16422 MiB, 78 %, 68.44 W
2026/05/04 00:27:30.060, 16422 MiB, 77 %, 68.21 W
2026/05/04 00:27:31.060, 18176 MiB, 53 %, 68.45 W
2026/05/04 00:27:32.061, 20574 MiB, 60 %, 135.47 W
2026/05/04 00:27:33.061, 20664 MiB, 77 %, 204.78 W
2026/05/04 00:27:34.061, 16422 MiB, 4 %, 133.92 W
2026/05/04 00:27:35.062, 16422 MiB, 81 %, 68.30 W
2026/05/04 00:27:36.062, 16422 MiB, 75 %, 68.24 W
2026/05/04 00:27:37.062, 18176 MiB, 50 %, 68.38 W
2026/05/04 00:27:38.063, 20658 MiB, 60 %, 113.10 W
2026/05/04 00:27:39.063, 438 MiB, 89 %, 246.48 W
2026/05/04 00:27:40.063, 16422 MiB, 19 %, 73.38 W
2026/05/04 00:27:41.063, 16422 MiB, 79 %, 68.25 W
2026/05/04 00:27:42.063, 16422 MiB, 74 %, 68.11 W
2026/05/04 00:27:43.064, 18770 MiB, 52 %, 81.68 W
2026/05/04 00:27:44.064, 20658 MiB, 63 %, 171.79 W
2026/05/04 00:27:45.064, 438 MiB, 78 %, 271.75 W
2026/05/04 00:27:46.064, 16422 MiB, 20 %, 99.86 W
2026/05/04 00:27:47.065, 16422 MiB, 80 %, 68.26 W
2026/05/04 00:27:48.065, 16422 MiB, 78 %, 68.61 W
2026/05/04 00:27:49.065, 18770 MiB, 55 %, 68.26 W
2026/05/04 00:27:50.065, 20660 MiB, 79 %, 175.85 W
2026/05/04 00:27:51.065, 20664 MiB, 74 %, 262.77 W
2026/05/04 00:27:52.066, 16422 MiB, 1 %, 128.91 W
2026/05/04 00:27:53.066, 16422 MiB, 82 %, 68.28 W
2026/05/04 00:27:54.066, 16422 MiB, 73 %, 68.28 W
2026/05/04 00:27:55.067, 18176 MiB, 76 %, 68.47 W
2026/05/04 00:27:56.067, 20812 MiB, 53 %, 129.40 W
2026/05/04 00:27:57.067, 438 MiB, 79 %, 235.76 W
2026/05/04 00:27:58.068, 16422 MiB, 81 %, 73.75 W
2026/05/04 00:27:59.068, 16422 MiB, 79 %, 68.34 W
2026/05/04 00:28:00.068, 16422 MiB, 78 %, 68.26 W
2026/05/04 00:28:01.068, 18772 MiB, 58 %, 103.24 W
2026/05/04 00:28:02.069, 20816 MiB, 80 %, 199.15 W
2026/05/04 00:28:03.069, 438 MiB, 100 %, 208.08 W
2026/05/04 00:28:04.077, 16422 MiB, 79 %, 69.00 W
2026/05/04 00:28:05.077, 16422 MiB, 77 %, 68.32 W
2026/05/04 00:28:06.078, 18176 MiB, 61 %, 68.37 W
2026/05/04 00:28:07.078, 20720 MiB, 61 %, 117.34 W
2026/05/04 00:28:08.078, 20814 MiB, 77 %, 223.16 W
2026/05/04 00:28:09.079, 438 MiB, 93 %, 224.72 W
2026/05/04 00:28:10.079, 16422 MiB, 77 %, 72.28 W
2026/05/04 00:28:11.079, 16422 MiB, 77 %, 68.51 W
2026/05/04 00:28:12.080, 16422 MiB, 78 %, 68.41 W
2026/05/04 00:28:13.080, 20722 MiB, 92 %, 120.33 W
2026/05/04 00:28:14.080, 20814 MiB, 80 %, 200.35 W
2026/05/04 00:28:15.081, 438 MiB, 98 %, 246.04 W
2026/05/04 00:28:16.081, 16422 MiB, 81 %, 80.18 W
2026/05/04 00:28:17.081, 16422 MiB, 79 %, 68.38 W
2026/05/04 00:28:18.082, 16422 MiB, 78 %, 68.43 W
2026/05/04 00:28:19.082, 18770 MiB, 50 %, 74.40 W
2026/05/04 00:28:20.082, 20814 MiB, 81 %, 180.09 W
2026/05/04 00:28:21.083, 438 MiB, 76 %, 263.21 W
2026/05/04 00:28:22.083, 16422 MiB, 77 %, 73.92 W
2026/05/04 00:28:23.083, 16422 MiB, 79 %, 68.39 W
2026/05/04 00:28:24.084, 16422 MiB, 77 %, 68.39 W
2026/05/04 00:28:25.084, 18770 MiB, 35 %, 68.57 W
2026/05/04 00:28:26.084, 20814 MiB, 82 %, 190.39 W
2026/05/04 00:28:27.084, 438 MiB, 100 %, 206.59 W
2026/05/04 00:28:28.085, 16422 MiB, 77 %, 69.03 W
2026/05/04 00:28:29.085, 16422 MiB, 77 %, 68.64 W
2026/05/04 00:28:30.085, 16422 MiB, 78 %, 68.42 W
2026/05/04 00:28:31.086, 20722 MiB, 87 %, 135.99 W
2026/05/04 00:28:32.086, 20818 MiB, 82 %, 197.54 W
2026/05/04 00:28:33.086, 6 MiB, 80 %, 197.27 W
2026/05/04 00:28:34.086, 16422 MiB, 82 %, 68.78 W
2026/05/04 00:28:35.087, 16422 MiB, 77 %, 68.66 W
2026/05/04 00:28:36.087, 18176 MiB, 52 %, 68.56 W
2026/05/04 00:28:37.087, 20720 MiB, 61 %, 113.67 W
2026/05/04 00:28:38.088, 20816 MiB, 78 %, 245.64 W
2026/05/04 00:28:39.088, 16422 MiB, 4 %, 121.80 W
2026/05/04 00:28:40.089, 16422 MiB, 82 %, 68.61 W
2026/05/04 00:28:41.089, 16422 MiB, 75 %, 68.66 W
2026/05/04 00:28:42.089, 18662 MiB, 64 %, 68.39 W
2026/05/04 00:28:43.091, 20812 MiB, 59 %, 136.63 W
2026/05/04 00:28:44.091, 438 MiB, 96 %, 205.67 W
2026/05/04 00:28:45.092, 16422 MiB, 78 %, 69.96 W
2026/05/04 00:28:46.092, 16422 MiB, 80 %, 68.35 W
2026/05/04 00:28:47.092, 16422 MiB, 78 %, 68.56 W
2026/05/04 00:28:48.093, 20720 MiB, 56 %, 103.49 W
2026/05/04 00:28:49.093, 20814 MiB, 81 %, 195.33 W
2026/05/04 00:28:50.093, 438 MiB, 100 %, 244.65 W
2026/05/04 00:28:51.094, 16422 MiB, 79 %, 72.88 W
2026/05/04 00:28:52.094, 16422 MiB, 77 %, 68.90 W
2026/05/04 00:28:53.095, 16422 MiB, 77 %, 68.57 W
2026/05/04 00:28:54.095, 18770 MiB, 64 %, 91.66 W
2026/05/04 00:28:55.095, 20968 MiB, 82 %, 188.65 W
2026/05/04 00:28:56.095, 3 MiB, 26 %, 197.87 W
2026/05/04 00:28:57.096, 16422 MiB, 80 %, 68.63 W
2026/05/04 00:28:58.096, 16422 MiB, 77 %, 68.76 W
2026/05/04 00:28:59.096, 18176 MiB, 52 %, 68.42 W
2026/05/04 00:29:00.097, 20868 MiB, 94 %, 140.97 W
2026/05/04 00:29:01.097, 20972 MiB, 81 %, 197.96 W
2026/05/04 00:29:02.097, 16422 MiB, 0 %, 140.14 W
2026/05/04 00:29:03.098, 16422 MiB, 83 %, 68.48 W
2026/05/04 00:29:04.098, 16422 MiB, 74 %, 68.45 W
2026/05/04 00:29:05.098, 18176 MiB, 78 %, 68.51 W
2026/05/04 00:29:06.098, 20966 MiB, 55 %, 117.05 W
2026/05/04 00:29:07.099, 20968 MiB, 78 %, 269.34 W
2026/05/04 00:29:08.099, 3 MiB, 5 %, 187.97 W
2026/05/04 00:29:09.099, 16422 MiB, 80 %, 68.97 W
2026/05/04 00:29:10.100, 16422 MiB, 77 %, 68.65 W
2026/05/04 00:29:11.100, 18176 MiB, 78 %, 68.55 W
2026/05/04 00:29:12.100, 20868 MiB, 94 %, 128.81 W
2026/05/04 00:29:13.101, 20970 MiB, 76 %, 207.31 W
2026/05/04 00:29:14.101, 438 MiB, 95 %, 219.31 W
2026/05/04 00:29:15.101, 16422 MiB, 77 %, 70.13 W
2026/05/04 00:29:16.102, 16422 MiB, 77 %, 68.65 W
2026/05/04 00:29:17.102, 16422 MiB, 78 %, 68.52 W
2026/05/04 00:29:18.102, 20866 MiB, 59 %, 125.21 W
2026/05/04 00:29:19.103, 20968 MiB, 80 %, 195.81 W
2026/05/04 00:29:20.103, 438 MiB, 80 %, 218.00 W
2026/05/04 00:29:21.103, 16422 MiB, 77 %, 69.44 W
2026/05/04 00:29:22.103, 16422 MiB, 77 %, 68.31 W
2026/05/04 00:29:23.104, 16422 MiB, 78 %, 68.23 W
2026/05/04 00:29:24.104, 20866 MiB, 75 %, 126.69 W
2026/05/04 00:29:25.104, 20970 MiB, 72 %, 193.45 W
2026/05/04 00:29:26.105, 32 MiB, 4 %, 141.55 W
2026/05/04 00:29:27.105, 16422 MiB, 82 %, 68.68 W
2026/05/04 00:29:28.105, 16422 MiB, 75 %, 68.49 W
2026/05/04 00:29:29.105, 18176 MiB, 60 %, 68.42 W
2026/05/04 00:29:30.106, 20868 MiB, 58 %, 135.89 W
2026/05/04 00:29:31.106, 20972 MiB, 78 %, 223.83 W
2026/05/04 00:29:32.106, 16422 MiB, 1 %, 128.41 W
2026/05/04 00:29:33.107, 16422 MiB, 81 %, 68.74 W
2026/05/04 00:29:34.107, 16422 MiB, 73 %, 68.51 W
2026/05/04 00:29:35.107, 18662 MiB, 75 %, 68.51 W
2026/05/04 00:29:36.108, 20968 MiB, 59 %, 124.75 W
2026/05/04 00:29:37.108, 438 MiB, 81 %, 276.86 W
2026/05/04 00:29:38.108, 16422 MiB, 60 %, 90.68 W
2026/05/04 00:29:39.109, 16422 MiB, 80 %, 68.46 W
2026/05/04 00:29:40.109, 16422 MiB, 77 %, 68.48 W
2026/05/04 00:29:41.109, 18770 MiB, 41 %, 68.31 W
2026/05/04 00:29:42.109, 20966 MiB, 65 %, 157.99 W
2026/05/04 00:29:43.110, 437 MiB, 51 %, 208.36 W
2026/05/04 00:29:44.110, 16422 MiB, 78 %, 68.52 W
2026/05/04 00:29:45.110, 16422 MiB, 77 %, 68.30 W
2026/05/04 00:29:46.111, 18176 MiB, 78 %, 68.49 W
2026/05/04 00:29:47.111, 20866 MiB, 75 %, 133.94 W
2026/05/04 00:29:48.111, 20968 MiB, 79 %, 192.30 W
2026/05/04 00:29:49.111, 438 MiB, 60 %, 189.20 W
2026/05/04 00:29:50.112, 16422 MiB, 77 %, 68.86 W
2026/05/04 00:29:51.113, 16422 MiB, 76 %, 68.52 W
2026/05/04 00:29:52.113, 18176 MiB, 77 %, 68.66 W
2026/05/04 00:29:53.113, 20868 MiB, 83 %, 128.55 W
2026/05/04 00:29:54.114, 20972 MiB, 79 %, 193.77 W
2026/05/04 00:29:55.114, 438 MiB, 100 %, 233.13 W
2026/05/04 00:29:56.114, 16422 MiB, 79 %, 72.94 W
2026/05/04 00:29:57.114, 16422 MiB, 77 %, 68.62 W
2026/05/04 00:29:58.115, 16422 MiB, 77 %, 68.61 W
2026/05/04 00:29:59.115, 18770 MiB, 62 %, 91.24 W
2026/05/04 00:30:00.115, 20970 MiB, 82 %, 192.39 W
2026/05/04 00:30:01.116, 20972 MiB, 72 %, 286.14 W
2026/05/04 00:30:02.116, 20976 MiB, 72 %, 274.98 W
2026/05/04 00:30:03.116, 16422 MiB, 1 %, 108.65 W
2026/05/04 00:30:04.117, 16422 MiB, 82 %, 68.88 W
2026/05/04 00:30:05.117, 16422 MiB, 73 %, 68.92 W
2026/05/04 00:30:06.117, 18662 MiB, 72 %, 68.53 W
2026/05/04 00:30:07.118, 20966 MiB, 58 %, 128.98 W
2026/05/04 00:30:08.118, 20968 MiB, 79 %, 292.73 W
2026/05/04 00:30:09.118, 438 MiB, 88 %, 270.13 W
2026/05/04 00:30:10.121, 16422 MiB, 77 %, 73.46 W
2026/05/04 00:30:11.121, 16422 MiB, 79 %, 68.96 W
2026/05/04 00:30:12.121, 16422 MiB, 78 %, 68.68 W
2026/05/04 00:30:13.122, 18770 MiB, 47 %, 92.74 W
2026/05/04 00:30:14.122, 20968 MiB, 80 %, 190.17 W
2026/05/04 00:30:15.122, 20972 MiB, 75 %, 290.63 W
2026/05/04 00:30:16.123, 20976 MiB, 76 %, 286.14 W
2026/05/04 00:30:17.123, 6 MiB, 5 %, 183.95 W
2026/05/04 00:30:18.123, 16422 MiB, 80 %, 69.32 W
2026/05/04 00:30:19.123, 16422 MiB, 77 %, 68.89 W
2026/05/04 00:30:20.124, 18176 MiB, 52 %, 68.80 W
2026/05/04 00:30:21.124, 20866 MiB, 63 %, 135.23 W
2026/05/04 00:30:22.124, 20970 MiB, 78 %, 228.65 W
2026/05/04 00:30:23.125, 438 MiB, 81 %, 289.01 W
2026/05/04 00:30:24.125, 16422 MiB, 58 %, 95.74 W
